# Localization Prediction using LocTree3
# Domain: bact
#
# NOTATION Protein Id: Fasta sequences Id truncated by whitespace
# NOTATION Score: Reliability score on a 0-100 scale (0=unreliable & 100=most reliable)
# NOTATION Localization: Predicted sub-cellular localization class
# NOTATION Gene Ontology Terms: Gene Ontology (GO) term/s of the corresponding localization. GO terms predicted by PSI-BLAST are supported by evidence codes (see http://www.geneontology.org/GO.evidence.shtml)
#
# PSI-BLAST annotation based on Swiss-Prot release 2013_11.
# Protein Id	Score	Localization	Gene Ontology Terms
tr|Q5ZRQ5|Q5ZRQ5_LEGPH	54	cytoplasm	cytoplasm GO:0005737(IEA);
sp|Q5ZT57|SECB_LEGPH	48	cytoplasm	cytoplasm GO:0005737(IEA);
tr|Q5ZYS8|Q5ZYS8_LEGPH	14	cytoplasm	cytoplasm GO:0005737(IEA);
tr|Q5ZW41|Q5ZW41_LEGPH	13	cytoplasm	cytoplasm GO:0005737(IEA);
tr|Q5ZRS5|Q5ZRS5_LEGPH	35	inner membrane	integral to plasma membrane GO:0005887(IEA);
tr|Q5ZUK2|Q5ZUK2_LEGPH	9	cytoplasm	cytoplasm GO:0005737(IEA);
tr|Q5ZUM2|Q5ZUM2_LEGPH	36	cytoplasm	cytoplasm GO:0005737(IDA);
sp|Q5ZX60|RF3_LEGPH	59	cytoplasm	cytoplasm GO:0005737(IEA);
tr|Q5ZTU8|Q5ZTU8_LEGPH	16	cytoplasm	chromosome GO:0005694(IEA); cytoplasm GO:0005737(IEA);
tr|Q5ZSM7|Q5ZSM7_LEGPH	11	cytoplasm	chromosome GO:0005694(IEA); cytoplasm GO:0005737(IEA);
sp|Q5ZWZ6|SYI_LEGPH	44	cytoplasm	cytoplasm GO:0005737(IEA);
tr|Q5ZXD9|Q5ZXD9_LEGPH	24	inner membrane	integral to membrane GO:0016021(IEA); plasma membrane GO:0005886(IEA);
tr|Q5ZXY3|Q5ZXY3_LEGPH	27	inner membrane	integral to membrane GO:0016021(IDA); plasma membrane GO:0005886(IEA);
sp|Q5ZXH2|G6PI_LEGPH	28	cytoplasm	cytosol GO:0005829(IDA);
tr|Q5ZTX8|Q5ZTX8_LEGPH	11	inner membrane	integral to membrane GO:0016021(IEA); plasma membrane GO:0005886(IDA);
tr|Q5ZVB8|Q5ZVB8_LEGPH	44	cytoplasm	cytoplasm GO:0005737(IEA);
tr|Q5ZXY1|Q5ZXY1_LEGPH	30	cytoplasm	cytoplasm GO:0005737(IEA);
tr|Q5ZU08|Q5ZU08_LEGPH	31	inner membrane	integral to membrane GO:0016021(IEA); plasma membrane GO:0005886(IEA);
sp|Q5ZVZ3|GLO2_LEGPH	14	cytoplasm	cytoplasm GO:0005737(IEA);
tr|Q5ZZK7|Q5ZZK7_LEGPH	23	cytoplasm	cytosol GO:0005829(IDA); DNA polymerase III complex GO:0009360(IEA);
tr|Q5ZWG3|Q5ZWG3_LEGPH	16	periplasm	membrane GO:0016020(IEA); outer membrane-bounded periplasmic space GO:0030288(IDA);
tr|Q5ZUB8|Q5ZUB8_LEGPH	9	cytoplasm	cytoplasm GO:0005737(NAS);
tr|Q5ZZJ1|Q5ZZJ1_LEGPH	27	secreted	extracellular region GO:0005576(IEA);
tr|Q5ZSW6|Q5ZSW6_LEGPH	19	secreted	extracellular region GO:0005576(IDA); host cell cytoplasm GO:0030430(IEA);
tr|Q5ZY82|Q5ZY82_LEGPH	30	cytoplasm	cytoplasm GO:0005737(IEA);
tr|Q5ZVG9|Q5ZVG9_LEGPH	13	cytoplasm	cytoplasm GO:0005737(IEA);
tr|Q5ZYY9|Q5ZYY9_LEGPH	15	inner membrane	integral to membrane GO:0016021(IEA); plasma membrane GO:0005886(IEA);
sp|Q5ZW91|HIS4_LEGPH	23	cytoplasm	cytoplasm GO:0005737(IEA);
tr|Q5ZYE6|Q5ZYE6_LEGPH	51	cytoplasm	cytoplasm GO:0005737(IEA);
tr|Q5ZZ25|Q5ZZ25_LEGPH	16	inner membrane	integral to membrane GO:0016021(IEA); plasma membrane GO:0005886(IEA);
tr|Q5ZYL2|Q5ZYL2_LEGPH	8	cytoplasm	cytoplasm GO:0005737(IEA);
tr|Q5ZSR0|Q5ZSR0_LEGPH	23	cytoplasm	cytoplasm GO:0005737(IEA);
tr|Q5ZZ34|Q5ZZ34_LEGPH	7	inner membrane	integral to membrane GO:0016021(IEA); plasma membrane GO:0005886(IEA);
tr|Q5ZRB4|Q5ZRB4_LEGPH	23	cytoplasm	cytoplasm GO:0005737(IEA);
tr|Q5ZVQ9|Q5ZVQ9_LEGPH	21	periplasm	periplasmic space GO:0042597(IEA);
tr|Q5ZRH2|Q5ZRH2_LEGPH	30	cytoplasm	cytoplasm GO:0005737(IEA);
tr|Q5ZUZ0|Q5ZUZ0_LEGPH	8	periplasm	periplasmic space GO:0042597(IEA);
tr|Q5ZXF1|Q5ZXF1_LEGPH	11	cytoplasm	cytoplasm GO:0005737(IEA);
tr|Q5ZUI8|Q5ZUI8_LEGPH	12	outer membrane	cell outer membrane GO:0009279(IEA); integral to membrane GO:0016021(IEA); plasma membrane GO:0005886(IEA);
tr|Q5ZYX4|Q5ZYX4_LEGPH	19	cytoplasm	cytoplasm GO:0005737(IEA);
sp|Q5ZYR3|SURA_LEGPH	24	cytoplasm	cytoplasm GO:0005737(IEA);
tr|Q5ZWX3|Q5ZWX3_LEGPH	18	inner membrane	ATP-binding cassette (ABC) transporter complex GO:0043190(ISS); integral to membrane GO:0016021(IEA); plasma membrane GO:0005886(IEA);
tr|Q5ZUL0|Q5ZUL0_LEGPH	19	inner membrane	integral to membrane GO:0016021(IEA); plasma membrane GO:0005886(IEA);
tr|Q5ZRY4|Q5ZRY4_LEGPH	6	inner membrane	integral to membrane GO:0016021(IEA); plasma membrane GO:0005886(IEA);
tr|Q5ZZ45|Q5ZZ45_LEGPH	42	inner membrane	integral to membrane GO:0016021(IEA); plasma membrane GO:0005886(IEA);
tr|Q5ZZ89|Q5ZZ89_LEGPH	19	inner membrane	integral to membrane GO:0016021(IDA); plasma membrane GO:0005886(IEA);
sp|Q5ZXH8|NEUCH_LEGPH	12	cytoplasm	cytoplasm GO:0005737(IEA);
tr|Q5ZU06|Q5ZU06_LEGPH	36	inner membrane	integral to plasma membrane GO:0005887(IDA);
tr|Q5ZTV4|Q5ZTV4_LEGPH	11	cytoplasm	cytoplasm GO:0005737(IEA); Holliday junction resolvase complex GO:0048476(IDA);
tr|Q5ZRR3|Q5ZRR3_LEGPH	19	cytoplasm	cytoplasm GO:0005737(IEA);
tr|Q5ZRC7|Q5ZRC7_LEGPH	52	cytoplasm	chromosome GO:0005694(IEA); cytoplasm GO:0005737(IEA);
tr|Q5ZXK2|Q5ZXK2_LEGPH	34	inner membrane	integral to plasma membrane GO:0005887(TAS);
tr|Q5ZVC2|Q5ZVC2_LEGPH	14	inner membrane	integral to membrane GO:0016021(IEA); plasma membrane GO:0005886(IEA);
tr|Q5ZXM8|Q5ZXM8_LEGPH	17	inner membrane	integral to membrane GO:0016021(IDA); plasma membrane GO:0005886(IEA);
tr|Q5ZTC5|Q5ZTC5_LEGPH	19	cytoplasm	chromosome GO:0005694(IEA); cytoplasm GO:0005737(IEA);
sp|Q5ZXM9|TDH_LEGPH	62	cytoplasm	cytosol GO:0005829(IDA);
tr|Q5ZU72|Q5ZU72_LEGPH	19	cytoplasm	cytoplasm GO:0005737(IEA);
tr|Q5ZUH3|Q5ZUH3_LEGPH	37	cytoplasm	cytoplasm GO:0005737(IEA);
tr|Q5ZT47|Q5ZT47_LEGPH	40	inner membrane	integral to membrane GO:0016021(IDA); plasma membrane GO:0005886(IDA);
sp|Q5ZY86|PURA_LEGPH	55	cytoplasm	cytoplasm GO:0005737(IEA); membrane GO:0016020(IDA);
tr|Q5ZWW4|Q5ZWW4_LEGPH	20	inner membrane	integral to membrane GO:0016021(IEA); plasma membrane GO:0005886(IEA);
tr|Q5ZWS1|Q5ZWS1_LEGPH	40	cytoplasm	cytoplasm GO:0005737(IEA);
tr|Q5ZZJ9|Q5ZZJ9_LEGPH	14	periplasm	outer membrane-bounded periplasmic space GO:0030288(IEA);
tr|Q5ZXE2|Q5ZXE2_LEGPH	25	inner membrane	Gram-negative-bacterium-type cell wall GO:0009276(IDA); integral to membrane GO:0016021(IEA); plasma membrane GO:0005886(IEA);
tr|Q5ZRM2|Q5ZRM2_LEGPH	16	cytoplasm	cytoplasm GO:0005737(IEA);
tr|Q5ZYV5|Q5ZYV5_LEGPH	17	inner membrane	integral to membrane GO:0016021(IEA); plasma membrane GO:0005886(IEA);
tr|Q5ZX65|Q5ZX65_LEGPH	26	cytoplasm	bacterial nucleoid GO:0043590(IDA); cytoplasm GO:0005737(IEA);
tr|Q5ZXA0|Q5ZXA0_LEGPH	14	cytoplasm	cytoplasm GO:0005737(IEA);
tr|Q5ZWR1|Q5ZWR1_LEGPH	21	inner membrane	integral to membrane GO:0016021(IDA); plasma membrane GO:0005886(IEA);
tr|Q5ZY80|Q5ZY80_LEGPH	32	inner membrane	integral to membrane GO:0016021(IEA); plasma membrane GO:0005886(IEA);
sp|Q5ZV64|RUVB_LEGPH	65	cytoplasm	cytoplasm GO:0005737(IEA); Holliday junction resolvase complex GO:0048476(IDA);
tr|Q5ZT28|Q5ZT28_LEGPH	29	cytoplasm	cytoplasm GO:0005737(IEA);
tr|Q5ZU68|Q5ZU68_LEGPH	22	cytoplasm	cytoplasm GO:0005737(IEA);
tr|Q5ZTW1|Q5ZTW1_LEGPH	10	inner membrane	integral to membrane GO:0016021(IEA); plasma membrane GO:0005886(IEA);
tr|Q5ZU99|Q5ZU99_LEGPH	31	cytoplasm	cytoplasm GO:0005737(IEA);
sp|Q5ZY26|COAD_LEGPH	36	cytoplasm	cytoplasm GO:0005737(IEA);
sp|Q5ZYK6|DAPF_LEGPH	39	cytoplasm	cytoplasm GO:0005737(IEA);
tr|Q5ZS88|Q5ZS88_LEGPH	29	cytoplasm	cytoplasm GO:0005737(IEA);
tr|Q5ZTS6|Q5ZTS6_LEGPH	41	periplasm	periplasmic space GO:0042597(IEA);
tr|Q5ZVF7|Q5ZVF7_LEGPH	14	secreted	extracellular region GO:0005576(IEA);
sp|Q5ZTY4|DNAJ_LEGPH	54	cytoplasm	cytoplasm GO:0005737(IDA); membrane GO:0016020(IDA);
tr|Q5ZXG2|Q5ZXG2_LEGPH	6	cytoplasm	cytoplasm GO:0005737(IEA);
tr|Q5ZXX1|Q5ZXX1_LEGPH	14	inner membrane	integral to membrane GO:0016021(IEA); plasma membrane GO:0005886(IEA);
tr|Q5ZTU6|Q5ZTU6_LEGPH	8	cytoplasm	cytoplasm GO:0005737(IEA);
tr|Q5ZU37|Q5ZU37_LEGPH	11	cytoplasm	cytoplasm GO:0005737(IEA);
tr|Q5ZVT4|Q5ZVT4_LEGPH	10	secreted	extracellular region GO:0005576(IEA);
sp|Q5ZU96|SYE_LEGPH	50	cytoplasm	cytoplasm GO:0005737(IEA);
tr|Q5ZVI9|Q5ZVI9_LEGPH	23	periplasm	outer membrane-bounded periplasmic space GO:0030288(IDA);
tr|Q5ZS49|Q5ZS49_LEGPH	21	cytoplasm	signal recognition particle, endoplasmic reticulum targeting GO:0005786(IEA);
tr|Q5ZUI3|Q5ZUI3_LEGPH	12	cytoplasm	cytoplasm GO:0005737(IEA);
tr|Q5ZWA5|Q5ZWA5_LEGPH	10	cytoplasm	cytoplasm GO:0005737(IEA); riboflavin synthase complex GO:0009349(IEA);
sp|Q5ZRU6|NUOI_LEGPH	28	periplasm	periplasmic space GO:0042597(IEA);
tr|Q5ZXK7|Q5ZXK7_LEGPH	30	periplasm	periplasmic space GO:0042597(IDA);
tr|Q5ZXV4|Q5ZXV4_LEGPH	30	fimbrium	pilus GO:0009289(IEA);
tr|Q5ZTS9|Q5ZTS9_LEGPH	17	periplasm	periplasmic space GO:0042597(IEA);
tr|Q5ZWY3|Q5ZWY3_LEGPH	5	cytoplasm	cytoplasm GO:0005737(IDA);
tr|Q5ZUE6|Q5ZUE6_LEGPH	15	secreted	extracellular region GO:0005576(IEA);
tr|Q5ZTY9|Q5ZTY9_LEGPH	20	secreted	extracellular region GO:0005576(IEA);
sp|Q3V870|PDXJ_LEGPH	59	cytoplasm	cytosol GO:0005829(IDA);
tr|Q5ZVK2|Q5ZVK2_LEGPH	26	cytoplasm	cytoplasm GO:0005737(IEA);
tr|Q5ZWB2|Q5ZWB2_LEGPH	12	inner membrane	integral to plasma membrane GO:0005887(IDA);
sp|Q5ZXE0|MIP_LEGPH	22	cytoplasm	cytoplasm GO:0005737(IEA);
tr|Q5ZV73|Q5ZV73_LEGPH	28	cytoplasm	cytoplasm GO:0005737(IEA);
tr|Q5ZRI3|Q5ZRI3_LEGPH	14	inner membrane	integral to membrane GO:0016021(IEA); plasma membrane GO:0005886(IEA); respiratory chain GO:0070469(IEA);
tr|Q5ZYI8|Q5ZYI8_LEGPH	26	inner membrane	integral to membrane GO:0016021(IBA); plasma membrane GO:0005886(IEA);
tr|Q5ZUF0|Q5ZUF0_LEGPH	8	inner membrane	integral to membrane GO:0016021(IEA); plasma membrane GO:0005886(IEA);
tr|Q5ZTW2|Q5ZTW2_LEGPH	16	inner membrane	integral to membrane GO:0016021(IDA); plasma membrane GO:0005886(IEA);
tr|Q5ZYT7|Q5ZYT7_LEGPH	8	cytoplasm	cytoplasm GO:0005737(IEA);
sp|Q5ZYG0|CYOE_LEGPH	20	inner membrane	integral to membrane GO:0016021(IEA); plasma membrane GO:0005886(IDA);
tr|Q5ZVR5|Q5ZVR5_LEGPH	15	inner membrane	integral to membrane GO:0016021(IEA); plasma membrane GO:0005886(IEA);
tr|Q5ZYT9|Q5ZYT9_LEGPH	17	cytoplasm	cytoplasm GO:0005737(IEA);
tr|Q5ZRK3|Q5ZRK3_LEGPH	20	inner membrane	integral to membrane GO:0016021(IEA); plasma membrane GO:0005886(IEA);
tr|Q5ZSR6|Q5ZSR6_LEGPH	16	cytoplasm	cytoplasm GO:0005737(IEA);
tr|Q5ZXP8|Q5ZXP8_LEGPH	8	inner membrane	integral to membrane GO:0016021(IEA); plasma membrane GO:0005886(IEA);
tr|Q5ZT66|Q5ZT66_LEGPH	11	cytoplasm	bacterial nucleoid GO:0043590(IDA); cytoplasm GO:0005737(IEA);
tr|Q5ZRU3|Q5ZRU3_LEGPH	24	cytoplasm	cytoplasm GO:0005737(IEA);
tr|Q5ZT15|Q5ZT15_LEGPH	24	cytoplasm	cytoplasm GO:0005737(IEA);
tr|Q5ZY65|Q5ZY65_LEGPH	12	periplasm	cytosol GO:0005829(IDA); outer membrane-bounded periplasmic space GO:0030288(IDA);
sp|Q5ZUJ9|SYA_LEGPH	47	cytoplasm	cytoplasm GO:0005737(IEA); membrane GO:0016020(IDA);
sp|Q5ZRP5|TPMT_LEGPH	33	cytoplasm	cytoplasm GO:0005737(IEA);
sp|Q5ZW90|HIS52_LEGPH	28	cytoplasm	imidazoleglycerol-phosphate synthase complex GO:0009382(IDA);
sp|Q5ZUT5|ASTD_LEGPH	11	cytoplasm	cytoplasm GO:0005737(IEA);
sp|Q5ZX19|RSMH_LEGPH	44	cytoplasm	cytoplasm GO:0005737(IDA);
tr|Q5ZZ84|Q5ZZ84_LEGPH	9	cytoplasm	cytoplasm GO:0005737(IEA);
tr|Q5ZTH3|Q5ZTH3_LEGPH	41	inner membrane	integral to membrane GO:0016021(IEA); plasma membrane GO:0005886(IEA);
tr|Q5ZY25|Q5ZY25_LEGPH	27	periplasm	periplasmic space GO:0042597(IDA);
tr|Q5ZUE3|Q5ZUE3_LEGPH	10	inner membrane	integral to membrane GO:0016021(IEA); plasma membrane GO:0005886(IEA);
tr|Q5ZXS4|Q5ZXS4_LEGPH	17	inner membrane	cell outer membrane GO:0009279(IEA); integral to membrane GO:0016021(IEA); photosystem I GO:0009522(IEA); plasma membrane GO:0005886(IEA);
tr|Q5ZTG9|Q5ZTG9_LEGPH	12	inner membrane	integral to membrane GO:0016021(IEA); plasma membrane GO:0005886(IEA);
tr|Q5ZSP0|Q5ZSP0_LEGPH	17	inner membrane	integral to membrane GO:0016021(IEA); plasma membrane GO:0005886(IEA);
tr|Q5ZVK1|Q5ZVK1_LEGPH	10	inner membrane	integral to membrane GO:0016021(IEA); plasma membrane GO:0005886(IEA);
tr|Q5ZTB5|Q5ZTB5_LEGPH	40	inner membrane	integral to membrane GO:0016021(IEA); plasma membrane GO:0005886(IEA);
tr|Q5ZSW4|Q5ZSW4_LEGPH	11	cytoplasm	cytoplasm GO:0005737(IEA);
tr|Q5ZV43|Q5ZV43_LEGPH	27	cytoplasm	cytoplasm GO:0005737(IEA);
sp|Q5ZSH7|MSCL_LEGPH	50	inner membrane	integral to membrane GO:0016021(IEA); membrane GO:0016020(IDA); plasma membrane GO:0005886(IEA);
tr|Q5ZXN2|Q5ZXN2_LEGPH	22	outer membrane	cell outer membrane GO:0009279(IDA); integral to membrane GO:0016021(IEA); plasma membrane GO:0005886(IEA);
tr|Q5ZX74|Q5ZX74_LEGPH	37	inner membrane	integral to membrane GO:0016021(IEA); plasma membrane GO:0005886(IEA);
tr|Q5ZWY8|Q5ZWY8_LEGPH	19	secreted	cell wall GO:0005618(IEA); extracellular region GO:0005576(IEA);
tr|Q5ZS48|Q5ZS48_LEGPH	9	periplasm	cytoplasm GO:0005737(IDA); outer membrane-bounded periplasmic space GO:0030288(IDA);
tr|Q5ZRN9|Q5ZRN9_LEGPH	4	inner membrane	integral to membrane GO:0016021(IEA); plasma membrane GO:0005886(IEA);
tr|Q5ZXX6|Q5ZXX6_LEGPH	36	cytoplasm	cytoplasm GO:0005737(IEA);
tr|Q5ZWQ0|Q5ZWQ0_LEGPH	20	periplasm	periplasmic space GO:0042597(IEA);
tr|Q5ZVA5|Q5ZVA5_LEGPH	58	cytoplasm	cytoplasm GO:0005737(IEA);
sp|Q5ZVM2|SERC_LEGPH	29	cytoplasm	cytoplasm GO:0005737(IEA);
tr|Q5ZSV4|Q5ZSV4_LEGPH	18	periplasm	outer membrane-bounded periplasmic space GO:0030288(IEA);
tr|Q5ZSA1|Q5ZSA1_LEGPH	34	cytoplasm	cytoplasm GO:0005737(IEA);
tr|Q5ZSZ0|Q5ZSZ0_LEGPH	9	cytoplasm	cytoplasm GO:0005737(IEA);
tr|Q5ZZ35|Q5ZZ35_LEGPH	25	cytoplasm	cytoplasm GO:0005737(IEA);
sp|Q5ZYF8|RIMK_LEGPH	12	cytoplasm	cytoplasm GO:0005737(IEA);
tr|Q5ZUM7|Q5ZUM7_LEGPH	57	inner membrane	integral to plasma membrane GO:0005887(IDA);
tr|Q5ZX17|Q5ZX17_LEGPH	26	inner membrane	integral to plasma membrane GO:0005887(IDA);
tr|Q5ZTA2|Q5ZTA2_LEGPH	20	cytoplasm	cytoplasm GO:0005737(IEA);
tr|Q5ZZD8|Q5ZZD8_LEGPH	11	inner membrane	integral to membrane GO:0016021(IEA); plasma membrane GO:0005886(IEA);
sp|Q5ZXK6|GLYA_LEGPH	63	cytoplasm	cytosol GO:0005829(IDA); membrane GO:0016020(IDA);
tr|Q5ZUW6|Q5ZUW6_LEGPH	18	cytoplasm	cytoplasm GO:0005737(IDA);
tr|Q5ZW42|Q5ZW42_LEGPH	14	inner membrane	integral to membrane GO:0016021(IEA); plasma membrane GO:0005886(IEA);
tr|Q5ZUC3|Q5ZUC3_LEGPH	9	inner membrane	integral to membrane GO:0016021(IEA); plasma membrane GO:0005886(IEA);
tr|Q5ZZD6|Q5ZZD6_LEGPH	6	cytoplasm	cytoplasm GO:0005737(IEA);
tr|Q5ZXR8|Q5ZXR8_LEGPH	14	periplasm	membrane GO:0016020(IEA); outer membrane-bounded periplasmic space GO:0030288(IDA);
tr|Q5ZWR7|Q5ZWR7_LEGPH	2	outer membrane	cell outer membrane GO:0009279(IDA); integral to membrane GO:0016021(IEA); plasma membrane GO:0005886(IEA);
tr|Q5ZVN8|Q5ZVN8_LEGPH	15	cytoplasm	cytoplasm GO:0005737(IDA);
tr|Q5ZXJ9|Q5ZXJ9_LEGPH	11	outer membrane	cell outer membrane GO:0009279(IEA); plasma membrane GO:0005886(IEA); pore complex GO:0046930(IEA);
tr|Q5ZSD0|Q5ZSD0_LEGPH	15	secreted	extracellular region GO:0005576(IEA);
tr|Q5ZTX5|Q5ZTX5_LEGPH	15	cytoplasm	cytoplasm GO:0005737(IEA);
tr|Q5ZYK3|Q5ZYK3_LEGPH	11	cytoplasm	cytoplasm GO:0005737(IEA);
tr|Q5ZXF8|Q5ZXF8_LEGPH	14	inner membrane	integral to membrane GO:0016021(IEA); plasma membrane GO:0005886(IEA);
tr|Q5ZXS5|Q5ZXS5_LEGPH	17	inner membrane	integral to plasma membrane GO:0005887(IDA);
tr|Q5ZYC5|Q5ZYC5_LEGPH	27	outer membrane	cell outer membrane GO:0009279(IEA); plasma membrane GO:0005886(IEA); pore complex GO:0046930(IEA);
tr|Q5ZT42|Q5ZT42_LEGPH	18	cytoplasm	cytoplasm GO:0005737(IEA);
tr|Q5ZTI3|Q5ZTI3_LEGPH	23	cytoplasm	cytoplasm GO:0005737(IEA);
tr|Q5ZX47|Q5ZX47_LEGPH	10	inner membrane	integral to membrane GO:0016021(IDA); plasma membrane GO:0005886(IEA);
tr|Q5ZXB9|Q5ZXB9_LEGPH	13	inner membrane	integral to membrane GO:0016021(IEA); plasma membrane GO:0005886(IEA);
tr|Q5ZX09|Q5ZX09_LEGPH	46	cytoplasm	cytosol GO:0005829(ISS);
tr|Q5ZWF4|Q5ZWF4_LEGPH	46	cytoplasm	cytoplasm GO:0005737(IEA);
tr|Q5ZR96|Q5ZR96_LEGPH	46	inner membrane	integral to membrane GO:0016021(IDA); plasma membrane GO:0005886(IEA); proton-transporting ATP synthase complex, coupling factor F(o) GO:0045263(IMP);
tr|Q5ZYU6|Q5ZYU6_LEGPH	13	periplasm	periplasmic space GO:0042597(IEA);
tr|Q5ZS64|Q5ZS64_LEGPH	20	inner membrane	integral to membrane GO:0016021(IEA); plasma membrane GO:0005886(IEA);
tr|Q5ZRZ4|Q5ZRZ4_LEGPH	51	cytoplasm	cytosol GO:0005829(IDA);
sp|Q5ZXZ2|PYRB_LEGPH	12	cytoplasm	cytoplasm GO:0005737(IEA);
tr|Q5ZWR8|Q5ZWR8_LEGPH	28	inner membrane	integral to membrane GO:0016021(IDA); plasma membrane GO:0005886(IEA);
tr|Q5ZRE5|Q5ZRE5_LEGPH	53	cytoplasm	tricarboxylic acid cycle enzyme complex GO:0045239(IEA);
