#Batch CD-search tool	NIH/NLM/NCBI
#cdsid	QM3-qcdsearch-2E4BDDA5ACDA446D-1D80ECF6396A17BB
#datatype	hitsFull Results
#status	0
#Start time	2018-01-18T14:38:14	Run time	0:00:00:23
#status	success

Query	Hit type	PSSM-ID	From	To	E-Value	Bitscore	Accession	Short name	Incomplete	Superfamily
Q#5 - > Q5ZSA7 | lpg2612 length= 364	non-specific	273581	106	347	1.09312e-05	47.3013	TIGR01369	CPSaseII_lrg	C	cl27719
Q#5 - > Q5ZSA7 | lpg2612 length= 364	non-specific	236454	128	314	1.14882e-05	46.6687	PRK09288	purT	NC	cl27718
Q#5 - > Q5ZSA7 | lpg2612 length= 364	non-specific	316093	170	221	1.38629e-05	44.5814	pfam13535	ATP-grasp_4	C	cl17255
Q#5 - > Q5ZSA7 | lpg2612 length= 364	non-specific	273950	121	230	4.3119e-05	45.1562	TIGR02068	cya_phycin_syn	NC	cl27880
Q#5 - > Q5ZSA7 | lpg2612 length= 364	superfamily	332701	121	230	4.3119e-05	45.1562	cl27880	PRK14016 superfamily	NC	 - 
Q#5 - > Q5ZSA7 | lpg2612 length= 364	non-specific	273315	56	226	5.61058e-05	44.6074	TIGR00877	purD	C	cl27344
Q#5 - > Q5ZSA7 | lpg2612 length= 364	superfamily	332165	56	226	5.61058e-05	44.6074	cl27344	GARS_C superfamily	C	 - 
Q#5 - > Q5ZSA7 | lpg2612 length= 364	non-specific	188424	171	342	8.41946e-05	44.0604	TIGR03909	pyrrolys_PylC	NC	cl25870
Q#5 - > Q5ZSA7 | lpg2612 length= 364	non-specific	180150	129	349	0.000231875	42.7769	PRK05586	PRK05586	NC	cl27719
Q#5 - > Q5ZSA7 | lpg2612 length= 364	non-specific	132147	122	226	0.000288724	42.4144	TIGR03103	trio_acet_GNAT	NC	cl25875
Q#5 - > Q5ZSA7 | lpg2612 length= 364	superfamily	330696	122	226	0.000288724	42.4144	cl25875	PRK02471 superfamily	NC	 - 
Q#5 - > Q5ZSA7 | lpg2612 length= 364	non-specific	227111	109	226	0.000337624	42.2793	COG4770	PccA	C	cl27361
Q#5 - > Q5ZSA7 | lpg2612 length= 364	superfamily	332182	109	226	0.000337624	42.2793	cl27361	Biotin_carb_C superfamily	C	 - 
Q#5 - > Q5ZSA7 | lpg2612 length= 364	non-specific	237586	165	225	0.000445186	42.0657	PRK14016	PRK14016	NC	cl27880
Q#5 - > Q5ZSA7 | lpg2612 length= 364	non-specific	129605	96	350	0.00134966	40.1294	TIGR00514	accC	C	cl27719
Q#5 - > Q5ZSA7 | lpg2612 length= 364	non-specific	235393	163	226	0.00164623	40.4658	PRK05294	carB	C	cl27360
Q#5 - > Q5ZSA7 | lpg2612 length= 364	superfamily	332181	163	226	0.00164623	40.4658	cl27360	CPSase_L_D3 superfamily	C	 - 
Q#6 - > Q5ZSA6 | lpg2613 length= 308	specific	237553	11	302	3.1755e-158	443.014	PRK13905	murB	 - 	cl27337
Q#6 - > Q5ZSA6 | lpg2613 length= 308	superfamily	332158	11	302	3.1755e-158	443.014	cl27337	MurB_C superfamily	 - 	 - 
Q#6 - > Q5ZSA6 | lpg2613 length= 308	specific	223882	18	301	4.95979e-106	310.685	COG0812	MurB	 - 	cl27337
Q#6 - > Q5ZSA6 | lpg2613 length= 308	non-specific	173112	17	301	4.83534e-68	213.934	PRK14649	PRK14649	 - 	cl27337
Q#6 - > Q5ZSA6 | lpg2613 length= 308	non-specific	272945	24	301	1.01756e-65	207.69	TIGR00179	murB	 - 	cl27337
Q#6 - > Q5ZSA6 | lpg2613 length= 308	non-specific	171497	21	302	2.3098e-55	181.746	PRK12436	PRK12436	 - 	cl27337
Q#6 - > Q5ZSA6 | lpg2613 length= 308	non-specific	184386	21	302	8.32269e-55	180.399	PRK13906	murB	 - 	cl27337
Q#6 - > Q5ZSA6 | lpg2613 length= 308	non-specific	237777	15	302	9.20114e-53	174.675	PRK14652	PRK14652	 - 	cl27337
Q#6 - > Q5ZSA6 | lpg2613 length= 308	specific	308489	203	300	2.58242e-48	156.345	pfam02873	MurB_C	 - 	cl27337
Q#6 - > Q5ZSA6 | lpg2613 length= 308	non-specific	237778	18	299	1.74045e-45	155.764	PRK14653	PRK14653	 - 	cl27337
Q#6 - > Q5ZSA6 | lpg2613 length= 308	non-specific	184384	96	300	7.87928e-45	152.769	PRK13904	murB	N	cl27337
Q#6 - > Q5ZSA6 | lpg2613 length= 308	non-specific	237776	23	285	1.24569e-43	150.353	PRK14651	PRK14651	 - 	cl27337
Q#6 - > Q5ZSA6 | lpg2613 length= 308	non-specific	173113	24	301	6.98554e-37	133.431	PRK14650	PRK14650	 - 	cl27337
Q#6 - > Q5ZSA6 | lpg2613 length= 308	non-specific	237552	6	301	2.79074e-27	108.894	PRK13903	murB	 - 	cl27337
Q#6 - > Q5ZSA6 | lpg2613 length= 308	non-specific	234593	18	300	8.28255e-27	107.153	PRK00046	murB	 - 	cl27337
Q#6 - > Q5ZSA6 | lpg2613 length= 308	non-specific	173111	8	303	8.54714e-24	99.4126	PRK14648	PRK14648	 - 	cl27337
Q#6 - > Q5ZSA6 | lpg2613 length= 308	non-specific	307620	36	165	4.12306e-10	56.8248	pfam01565	FAD_binding_4	 - 	cl19922
Q#6 - > Q5ZSA6 | lpg2613 length= 308	superfamily	327699	36	165	4.12306e-10	56.8248	cl19922	FAD_binding_4 superfamily	 - 	 - 
Q#7 - > Q5ZSA5 | lpg2614 length= 469	specific	234757	10	467	0	696.482	PRK00421	murC	 - 	cl27879
Q#7 - > Q5ZSA5 | lpg2614 length= 469	superfamily	332700	10	467	0	696.482	cl27879	Mur_ligase_M superfamily	 - 	 - 
Q#7 - > Q5ZSA5 | lpg2614 length= 469	specific	223844	10	462	0	596.1	COG0773	MurC	 - 	cl27879
Q#7 - > Q5ZSA5 | lpg2614 length= 469	specific	273433	17	462	0	563.468	TIGR01082	murC	 - 	cl27879
Q#7 - > Q5ZSA5 | lpg2614 length= 469	non-specific	184752	12	458	6.18757e-99	314.448	PRK14573	PRK14573	C	cl27335
Q#7 - > Q5ZSA5 | lpg2614 length= 469	superfamily	332156	12	458	6.18757e-99	314.448	cl27335	Mur_ligase_C superfamily	C	 - 
Q#7 - > Q5ZSA5 | lpg2614 length= 469	non-specific	130153	17	384	2.90737e-47	168.862	TIGR01081	mpl	 - 	cl27335
Q#7 - > Q5ZSA5 | lpg2614 length= 469	non-specific	223842	17	332	4.44081e-39	146.655	COG0771	MurD	C	cl27879
Q#7 - > Q5ZSA5 | lpg2614 length= 469	non-specific	273436	17	332	2.22939e-34	133.235	TIGR01087	murD	C	cl27879
Q#7 - > Q5ZSA5 | lpg2614 length= 469	non-specific	235041	25	330	4.86929e-28	115.716	PRK02472	murD	C	cl27880
Q#7 - > Q5ZSA5 | lpg2614 length= 469	superfamily	332701	25	330	4.86929e-28	115.716	cl27880	PRK14016 superfamily	C	 - 
Q#7 - > Q5ZSA5 | lpg2614 length= 469	specific	285457	120	300	9.7709e-27	106.209	pfam08245	Mur_ligase_M	 - 	cl27879
Q#7 - > Q5ZSA5 | lpg2614 length= 469	non-specific	223841	118	459	2.55531e-26	110.469	COG0770	MurF	N	cl27879
Q#7 - > Q5ZSA5 | lpg2614 length= 469	non-specific	184511	25	358	2.42069e-24	104.668	PRK14106	murD	C	cl27880
Q#7 - > Q5ZSA5 | lpg2614 length= 469	non-specific	307401	18	116	4.7502e-23	92.2742	pfam01225	Mur_ligase	 - 	cl21454
Q#7 - > Q5ZSA5 | lpg2614 length= 469	superfamily	328723	18	116	4.7502e-23	92.2742	cl21454	NADB_Rossmann superfamily	 - 	 - 
Q#7 - > Q5ZSA5 | lpg2614 length= 469	non-specific	237025	64	371	1.02026e-21	98.6228	PRK11929	PRK11929	C	cl27879
Q#7 - > Q5ZSA5 | lpg2614 length= 469	non-specific	235059	19	342	1.39375e-20	93.8169	PRK02705	murD	C	cl27880
Q#7 - > Q5ZSA5 | lpg2614 length= 469	non-specific	223840	60	371	7.20292e-20	91.6146	COG0769	MurE	C	cl27879
Q#7 - > Q5ZSA5 | lpg2614 length= 469	non-specific	234660	118	371	1.07358e-19	90.9615	PRK00139	murE	NC	cl27879
Q#7 - > Q5ZSA5 | lpg2614 length= 469	non-specific	167786	21	345	3.24787e-19	89.5584	PRK04308	murD	C	cl27880
Q#7 - > Q5ZSA5 | lpg2614 length= 469	non-specific	273468	103	357	3.39575e-18	86.1656	TIGR01143	murF	C	cl27879
Q#7 - > Q5ZSA5 | lpg2614 length= 469	non-specific	179651	75	327	4.31781e-18	86.1494	PRK03806	murD	C	cl27880
Q#7 - > Q5ZSA5 | lpg2614 length= 469	non-specific	179297	21	319	1.04776e-17	85.1257	PRK01438	murD	C	cl27880
Q#7 - > Q5ZSA5 | lpg2614 length= 469	non-specific	234950	88	331	3.46693e-17	83.354	PRK01390	murD	C	cl27880
Q#7 - > Q5ZSA5 | lpg2614 length= 469	non-specific	237025	118	367	4.4913e-17	83.9852	PRK11929	PRK11929	N	cl27879
Q#7 - > Q5ZSA5 | lpg2614 length= 469	non-specific	235160	21	332	2.10774e-16	80.7383	PRK03803	murD	C	cl27880
Q#7 - > Q5ZSA5 | lpg2614 length= 469	non-specific	234662	21	330	2.17669e-16	80.9674	PRK00141	murD	C	cl27880
Q#7 - > Q5ZSA5 | lpg2614 length= 469	non-specific	179872	21	361	2.77776e-16	80.6314	PRK04690	murD	C	cl27880
Q#7 - > Q5ZSA5 | lpg2614 length= 469	non-specific	273435	73	371	2.99066e-16	80.438	TIGR01085	murE	C	cl27879
Q#7 - > Q5ZSA5 | lpg2614 length= 469	non-specific	179286	21	331	4.49962e-15	76.8029	PRK01368	murD	C	cl27880
Q#7 - > Q5ZSA5 | lpg2614 length= 469	non-specific	179871	75	332	1.55194e-14	75.1975	PRK04663	murD	C	cl27880
Q#7 - > Q5ZSA5 | lpg2614 length= 469	non-specific	179323	21	330	2.52227e-13	71.625	PRK01710	murD	C	cl27880
Q#7 - > Q5ZSA5 | lpg2614 length= 469	non-specific	179571	21	362	1.00901e-10	63.6117	PRK03369	murD	C	cl27880
Q#7 - > Q5ZSA5 | lpg2614 length= 469	non-specific	234995	72	330	9.43728e-10	60.4418	PRK02006	murD	C	cl27880
Q#7 - > Q5ZSA5 | lpg2614 length= 469	non-specific	273950	118	370	2.21537e-09	59.7938	TIGR02068	cya_phycin_syn	N	cl27880
Q#7 - > Q5ZSA5 | lpg2614 length= 469	non-specific	308491	321	406	2.04862e-08	51.1862	pfam02875	Mur_ligase_C	 - 	cl27335
Q#7 - > Q5ZSA5 | lpg2614 length= 469	non-specific	179086	25	149	6.85781e-08	54.4333	PRK00683	murD	C	cl27880
Q#7 - > Q5ZSA5 | lpg2614 length= 469	non-specific	182718	275	343	7.03584e-05	45.0222	PRK10773	murF	NC	cl27879
Q#7 - > Q5ZSA5 | lpg2614 length= 469	non-specific	237586	118	319	7.16758e-05	45.1473	PRK14016	PRK14016	N	cl27880
